label,text
spam,"Win a free iPhone now! Click here to claim your prize."
spam,"Congratulations! You've been selected for a cash award."
spam,"Viagra for sale, cheap prices, fast delivery."
spam,"Urgent: Your account security is at risk. Verify now."
spam,"Hot singles in your area waiting to chat."
ham,"Meeting reminded for tomorrow at 10 AM regarding the project."
ham,"Hey, can you send me the report when you're done?"
ham,"Lunch plans? Let's meet at the usual place."
ham,"Attached is the invoice for last month's services."
ham,"Happy Birthday! Hope you have a great day."
ham,"Please review the attached document."
ham,"What time are we meeting later?"
spam,"Exclusive offer: 50% off all products today only!"
